introspection,examining one's own thoughts and feelings
philanthropist,one who loves mankind
antidote,medicine used against a poison or a disease
strive,"to make great efforts, to struggle"
ambidextrous,able to use the left hand or the right equally well
precursors,"a person or thing that precedes, as in a process or job."
retrospective,Looking back on past
introvert,one who turns towards himself
ambiguous,doubtful; uncertain
gerontocracy,government ruled by old people
aggravate,make worse; irritate
braggart,boastful
entice,"attract, lure"
equilibrium,state of being balanced
alleviate,make (pain) easier to bear
adorn,add beauty; decorate
malevolent,malicious; evil; having or showing ill will
connote,"Suggest or imply in addition to the precise, literal meaning"
abhor,to hate; to detest
agile,active; quick-moving
endeavor,"to make an effort, to try very hard"
stray,wander lose one's way
renovate,restore something to better condition
curriculum,course of study
amalgamate,mix; combine; unite societies
drowsiness,feeling sleepy half asleep
disrobe,undress
xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
suffocate,cause or have difficulty in breathing
sequence,succession connected line of
scent,smell (especially pleasant)
sporadic,happening from time to time
affinity,close connection; relationship
audacious,Bold
heterogeneous,made up of different kinds
animosity,strong dislike
fragile,easily injured broken or destroyed
acumen,"Keen, quick, accurate insight or judgment"
legacy,Bequest or inheritance
massacre,cruel killing of a large number of people
submerge,put under water liquid sink out of sight
combustion,process of burning
adulteration,making unpure; poorer in quality
appease,make quiet or calm
premature,doing or happening something before the right time
inquest,"Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
shunned,"avoided, kept away from"
conceal,hide keep secret
anguish,severe suffering
indigenous,native
apt,well-suited; quick-witted
correlate,have a mutual relation
grumble,to complain
offhand,Without preparation or forethought
somersault,rolling backward or forward (not sideways) movement
extinguish,end the existence of/wipe or put out
edible,fit to be eaten/not poisonous
conjoin,to join together
surcharge,additional load/charge
accolade,praise; approval
disallow,refuse to allow or accept as a correct
opaqueness,dullness/not allowing light to pass through
impermeable,that cannot be permeated
console,give comfort or sympathy to
timid,shy easily frightened
abscond,to go away suddenly (to avoid arrest)
abide,be faithful; to endure
embezzle,use in a wrong way for one's own benefit
warrant,authority written order guarantee
reminiscent,suggest something in the past
extinct,no longer active
loll,rest to sit or stand in a lazy way hang (dog's tongue)
acclaimed,welcomed with shouts and approval
clientele,customers
catalyst,substance that causes speeding up
shallow,little depth; not earnest
brittle,easily broken
negligent,taking too little care
affable,polite and friendly
poseur,a person who attempts to impress by acting unlike himself
dangle,hand or swing loosely
moribund,in a dying state; near death
ascend,go or come up
relapse,fall back again
asterisk,the mark * (e.g.. omitted letters)
yarn,tale story fibers for knitting
arrogance,proud; superior manner of behaviour
salvage,the saving of property from loss
livid,"Furiously angry, enraged"
divergence,getting farther apart from a point
rejuvenation,becoming young in nature or appearance
allegiance,duty support loyalty
vigorous,strong energetic
dullard,"a stupid, insensitive person"
dwarf,person much smaller the usual size
fragrant,sweet-smelling
judicious,sound in judgment; wise
nihilism,total rejection of all religious and moral beliefs
odor,smell
scribble,write hastily
hospitable,liking to give hospitality
narcissism,Self-love
sawdust,tiny bits of wood
ameliorate,improve; make better
ingest,take in by swallowing
gait,"a manner of walking, stepping, or running"
sluggard,lazy slow-moving person
succumb,"yield, die"
reiterate,say or do again several times
flop,fail/move/fall clumsily
defer,postpone
ossified,turned to bone; hardened like bone; Inflexible
eloquence,fluent speaking skillful use of language
derivative,unoriginal; obtained from another source
commuter,person who travels regularly
clot,half-solid lump formed from liquid
weigh,measure hoe heavy something is
steeply,rising or falling sharply
torque,twisting force causing rotation
benefactor,person who has given help
complaisant,trying to please; obliging
plea,request
moderation,quality of being limited; not extreme
enduring,lasting
invincible,too strong to be defeated
sanity,health of mind soundness of judgment
turmoil,trouble disturbance
flimsy,"lacking solidarity, strength"
tadpole,form of a frog when it leaves the egg
reconcile,settle a quarrel restore peace
cryptic,secret with a hidden meaning
sponge,porous rubber for washing live at once expense
commemorate,keep the memory of
sadistic,Cruel
dote,show much fondness center one's attention
encapsulate,enclose in capsule
fission,splitting or division (esp. of cells)
volatile,changeable inconstant fickle unstable explosive
alloy,to debase by mixing with something inferior
dormant,in a state of inactivity but awaiting development
gallant,"brave,behaves well with women"
grievous,causing grief or pain; serious dire grave
enzyme,catalyst
shard,A piece of broken pottery
hypocrisy,falsely making oneself appear to be good
eradicate,get rid of pull up by the roots
chisel,steel tool for shaping materials
infuriate,fill with fury or rage
engulf,swallow up
euphoria,elation state of pleasant excitement
sanction,approval (by authority) penalty
renowned,celebrated; famous
riddle,puzzling person or thing
evoke,call up bring out
mischievous,harmful; causing mischief
implicit,implied though; not plainly expressed
disproof,proof to the contrary
misogynist,one who hates women/females
abysmal,extreme bad
writ,written order
pertain,belong as a part have reference
erratic,irregular in behaviour or opinion
meticulous,giving great attention to details
impromptu,without preparation
inclined,directing the mind in a certain direction
constrict,make tight or smaller
perish,be destroyed decay
Lambaste,attack verbally
luminary,star; light-giving body
dupe,cheat make a fool of
auxiliary,helping; supporting
extralegal,outside the law
ambivalent,having both of two contrary meanings
tonic,something giving strength or energy
endorse,write one's name on the back of
turbulence,being uncontrollably violent
connoisseur,a person with good judgement (e.g.. in art)
indistinct,not easily heard; seen clearly marked
abstruse,difficult to comprehend; obscure
limp,lacking strength; walking unevenly
parenthesis,sentence within another one something separated
sophisticated,complex; subtle; refined
aberration,straying away from what is normal
recuperate,become strong after illness loss exhaustion
perjury,willful FALSE statement unlawful act
mite,"A very small amount, portion, or particle"
pest,destructive thing or a person who is nuisance
pluck,pull the feathers off pick (e.g.. flowers)
satiate,satisfy fully
colloquial,involving or using conversation.
yeoman,man owning small estate; middle-class farmer
ail,"to cause pain, uneasiness, or trouble to."
fidelity,loyalty accuracy
mesmerize,hypnotize
paradigm,a model example or pattern
gullible,easily gulled
sobriety,quality or condition of being sober
dislodge,move force from the place occupied
fleet,number of ships; quick-moving
articulate,speak distinctly; connect by joints
tractable,easily controlled or guided
partisan,one-sided committed to a party biased or prejudiced
predominate,have more power than others
foolproof,incapable of failure or error
suffice,be enough
permeate,spread into every part of
spear,weapon with a metal point on a long shaft
solvent,of the power of forming a solution
presentiment,anticipatory fear; premonition
vivacious,lively high-spirited
coagulation,change to a thick and solid state
liberality,free giving; generosity
elaborate,worked out with much care in great detail
brass,yellow metal (mixing copper and zinc)
malleable,yielding easily shaped; moldable; adapting
patron,regular customer person who gives support
immutable,that cannot be changed
forgery,counterfeit
woo,try to win
cordial,warm and sincere
cumbersome,burdensome; heavy and awkward to carry
beguile,mislead or delude; cheat; pass time
retrograde,receding
sheath,cover for the blade of a weapon or a tool
bewilder,puzzle; confuse
knit,draw together; unite firmly
unscathed,unharmed unhurt
chortle,loud chuckle of pleasure or amusement
jabber,talk excitedly; utter rapidly
pivotal,of great importance (others depend on it)
implosion,collapse; bursting inward
repel,refuse to accept/cause dislike
superimpose,put something on the top
centurion,leader of a unit of 100 soldiers
enigma,something that is puzzling
calipers,metal supports attached to the legs measuring instrument
redeem,get back by payment compensate
buoyant,able to float; light-hearted
impede,hinder; get in the way of
stride,walk with long steps
boisterous,noisy; restraint
resuscitation,coming back to consciousness
concur,agree in opinion happen together
recitals,a number of performance of music
treacherous,"not to be trusted, perfidious"
indulgent,inclined to indulge
pilferer,"to steal, especially in small quantities"
foster,nurture; care for
apartheid,brutal racial discrimination
garrulous,too talkative
edify,instruct; correct morally
evasive,tending to evade
misanthrope,person who hates mankind
eulogy,formal praise panegyric
arcane,known or understood by very few
bogus,sham; counterfeit; not genuine
dexterity,skill (esp. in handling)
lampoon,publicly mock or ridicule
skit,short piece of humorous writing
incongruous,out of place; not in harmony or agreement
repulsive,causing a feeling of disgust
refine,make or become pure cultural
GRE Word List - 2,
multifarious,varied; motley; greatly diversified
substantiation,giving facts to support (statement)
feud,bitter quarrel over a long period of time
indefatigability,not easily exhaustible; tirelessness
convoluted,complicated;coiled; twisted
euthanasia,easy and painless death
underbid,make a lower bid then somebody else
cognizant,being fully aware of
concoct,"invent, prepare by mixing together"
turquoise,greenish-blue precious stone
decree,order given by authority
irate,angry
frantic,wildly excited with joy; pain; anxiety
alcove,recess/partially enclosed place
reverent,feeling or showing deep respect
derogatory,insulting; tending to damage
fawn,To seek favor or attention by flattery and obsequious
miser,person who loves wealth and spends little
valiant,brave
pervade,spread through every part of
tarnished,lost brightness
irrevocable,final and unalterable
imminent,likely to come or happen soon
soggy,heavy with water
savor,taste flavor something
wanton,unrestrained; willfully malicious; unchaste
unearth,discover and bring to light
hoax,mischievous trick played to deceive
voluptuous,arousing sensual pleasures
earthenware,dishes made of baked clay
suppress,prevent from being known put an end to
vindictive,having a desire to revenge
defiance,open disobedience or resistance
pinch,be too tight take between the thumb and finger
coalescing,coming together and uniting into one substance
gust,outburst of feeling; sudden rain wind fire etc.
candid,frank; straight-forward
warmonger,person who stirs up war
wince,show bodily or mental pain
loquacious,talkative; garrulous
gush,burst out suddenly/talk ardently
swerve,change direction suddenly
peccadillo,small sin small weakness in one's character
precursory,preliminary; anticipating
plunge,move quickly suddenly and with force
counterfeit,forgery
revere,have deep respect for
torment,severe pain or suffering
exculpate,to clear from a charge of guilt
abraded,rubbed off; worn away by friction
squander,spend wastefully
quandary,state of doubt or perplexity
dawdler,person who is slow waste of time
noxious,harmful
compunction,feeling of regret for one's action
deplete,use until none remains
coerce,compel to force to make obedient
recompense,make payment to reward punish
proliferate,grow reproduce by rapid multification
polemic,a controversial argument / a person engaged in such an argument
personable,pleasing in appearance attractive
punitive,Punishing
reciprocity,granting of privileges in return for similar
antithetical,direct opposing
holster,leather case for a pistol
stifled,"suppressed, kept back"
aseptic,surgically clean
propagation,increasing the number; spreading; extending
hapless,unlucky
implacable,incapable of being placated; unpleasable
ineptitude,quality of being unskillful
distraught,distracted violently upset in mind
vigilance,watchfulness self-appointed group who maintain order
condense,increase in density strength make laconic
forestall,prevent by taking action in advance; preempt
stipulate,state or put forward as a necessary condition
diabolical,having the qualities of a devil
provoke,make angry vax
lustrous,being bright; polished
lament,show feeling of great sorrow
plummet,fall plunge steeply
subpoena,written order requiring a person to appear in a low court
accrue,accumulate
extol,to praise highly
vitriolic,corrosive; sarcastic
idolatry,excessive admiration of
soot,black powder in smoke
valorous,brave
illicit,unlawful; forbidden
apropos,by the way
haughty,arrogant; conceited
aversion,strong dislike
floe,a sheet of floating ice
complaisance,tending to comply obliging willingness to please
supersede,take the place of
apprehensive,grasping understanding fear unhappy feeling about future
latent,present but not yet active; developed or visible
viscous,sticky/semi-fluid
topple,be unsteady and overturn
deviance,being different in moral standards (from normal)
concord,agreement or harmony
pristine,primitive unspoiled pure as in earlier times unadulterated
enunciate,pronounce (words)/express a theory
inept,unskillful; said or done at the wrong time
variegate,To mark with different shade or colors
malevolence,wishing to do evil
entangle,put into difficulties
impediment,something that hinders (e.g. stammer)
undermine,weaken gradually at the base make something under
slack,sluggish; dull; not tight
calisthenics,exercises to develop strong bodies
regicide,crime of killing a king
palate,roof of the mouth; sense of taste
arduous,steep difficult ascent; laborious
prevalent,common
recluse,person who lives alone and avoids people
pungency,sharpness stinging quality
placate,soothe pacify calm
tamper,interfere with
iconoclast,person who attacks popular beliefs
hush,make or become silent
frugal,careful; economical
felon,person guilty of murder
shun,keep away from avoid
finesse,delicate way of dealing with a situation
whimsical,full of odd and fanciful ideas
bigot,stubborn; narrow-minded person
aloof,reserved; indifferent
indomitable,not easily discouraged or subdued
imperative,urgent; essential
smolder,burn slowly without flame
muffler,cloth worn round the neck; silencer
perilous,dangerous
apprise,give notice to inform
dismal,sad; gloomy; miserable
trickle,flow in drops
enthral,"take the whole attention, enslave"
disencumber,free from encumbrance
impending,imminent; about to happen; expected
lavish,giving or producing freely liberally or generously
stickler,person who insists on importance of something
